Month,Day,Time,CloudAmount,NightLength
4,3,19:00,7,37851
4,3,20:00,7,37851
4,3,21:00,7,37851
4,3,22:00,8,37851
4,3,23:00,8,37851
4,4,0:00,7,37521
4,4,1:00,7,37521
4,4,2:00,7,37521
4,4,3:00,7,37521
4,4,4:00,7,37521
4,4,5:00,7,37521
4,4,6:00,7,37521
4,4,7:00,5,37521
4,4,8:00,7,37521
4,4,9:00,7,37521
4,4,10:00,7,37521
4,4,11:00,7,37521
4,4,12:00,7,37521
4,4,13:00,7,37521
4,4,14:00,7,37521
4,4,15:00,7,37521
4,4,16:00,7,37521
4,4,17:00,7,37521
4,4,18:00,7,37521
4,4,19:00,7,37521
4,4,20:00,7,37521
4,4,21:00,7,37521
4,4,22:00,7,37521
4,4,23:00,7,37521
4,5,0:00,7,37191
4,5,1:00,7,37191
4,5,2:00,7,37191
4,5,3:00,7,37191
4,5,4:00,7,37191
4,5,5:00,7,37191
4,5,6:00,8,37191
4,5,7:00,8,37191
4,5,8:00,8,37191
4,5,9:00,8,37191
4,5,10:00,8,37191
4,5,11:00,8,37191
4,5,12:00,7,37191
4,5,13:00,7,37191
4,5,14:00,7,37191
4,5,15:00,7,37191
4,5,16:00,7,37191
4,5,17:00,7,37191
4,5,18:00,7,37191
4,5,19:00,7,37191
4,5,20:00,7,37191
4,5,21:00,3,37191
4,5,22:00,5,37191
4,5,23:00,1,37191
4,6,0:00,0,36862
4,6,1:00,0,36862
4,6,2:00,0,36862
4,6,3:00,1,36862
4,6,4:00,0,36862
4,6,5:00,0,36862
4,6,6:00,0,36862
4,6,7:00,0,36862
4,6,8:00,5,36862
4,6,9:00,5,36862
4,6,10:00,7,36862
4,6,11:00,5,36862
4,6,12:00,7,36862
4,6,13:00,7,36862
4,6,14:00,7,36862
4,6,15:00,7,36862
4,6,16:00,7,36862
4,6,17:00,0,36862
4,6,18:00,3,36862
4,6,19:00,1,36862
4,6,20:00,5,36862
4,6,21:00,7,36862
4,6,22:00,7,36862
4,6,23:00,3,36862
4,7,0:00,7,36532
4,7,1:00,7,36532
4,7,2:00,7,36532
4,7,3:00,8,36532
4,7,4:00,7,36532
4,7,5:00,7,36532
4,7,6:00,8,36532
4,7,7:00,8,36532
4,7,8:00,8,36532
4,7,9:00,8,36532
4,7,10:00,7,36532
4,7,11:00,7,36532
4,7,12:00,7,36532
4,7,13:00,7,36532
4,7,14:00,8,36532
4,7,15:00,7,36532
4,7,16:00,8,36532
4,7,17:00,8,36532
4,7,18:00,8,36532
4,7,19:00,8,36532
4,7,20:00,8,36532
4,7,21:00,8,36532
4,7,22:00,8,36532
4,7,23:00,8,36532
4,8,0:00,7,36203
4,8,1:00,7,36203
4,8,2:00,7,36203
4,8,3:00,7,36203
4,8,4:00,7,36203
4,8,5:00,8,36203
4,8,6:00,7,36203
4,8,7:00,8,36203
4,8,8:00,7,36203
4,8,9:00,8,36203
4,8,10:00,5,36203
4,8,11:00,7,36203
4,8,12:00,5,36203
4,8,13:00,8,36203
4,8,14:00,7,36203
4,8,15:00,7,36203
4,8,16:00,8,36203
4,8,17:00,7,36203
4,8,18:00,8,36203
4,8,19:00,7,36203
4,8,20:00,3,36203
4,8,21:00,3,36203
4,8,22:00,1,36203
4,8,23:00,7,36203
4,9,0:00,3,35874
4,9,1:00,3,35874
4,9,2:00,7,35874
4,9,3:00,7,35874
4,9,4:00,5,35874
4,9,5:00,7,35874
4,9,6:00,5,35874
4,9,7:00,3,35874
4,9,8:00,1,35874
4,9,9:00,0,35874
4,9,10:00,3,35874
4,9,11:00,5,35874
4,9,12:00,3,35874
4,9,13:00,1,35874
4,9,14:00,7,35874
4,9,15:00,1,35874
4,9,16:00,7,35874
4,9,17:00,5,35874
4,9,18:00,5,35874
4,9,19:00,7,35874
4,9,20:00,7,35874
4,9,21:00,7,35874
4,9,22:00,7,35874
4,9,23:00,7,35874
4,10,0:00,7,35545
4,10,1:00,7,35545
4,10,2:00,7,35545
4,10,3:00,7,35545
4,10,4:00,7,35545
4,10,5:00,7,35545
4,10,6:00,7,35545
4,10,7:00,7,35545
4,10,8:00,7,35545
4,10,9:00,7,35545
4,10,10:00,7,35545
4,10,11:00,7,35545
4,10,12:00,7,35545
4,10,13:00,5,35545
4,10,14:00,0,35545
4,10,15:00,0,35545
4,10,16:00,5,35545
4,10,17:00,1,35545
4,10,18:00,3,35545
4,10,19:00,5,35545
4,10,20:00,8,35545
4,10,21:00,7,35545
4,10,22:00,3,35545
4,10,23:00,7,35545
4,11,0:00,5,35216
4,11,1:00,5,35216
4,11,2:00,7,35216
4,11,3:00,3,35216
4,11,4:00,0,35216
4,11,5:00,0,35216
4,11,6:00,0,35216
4,11,7:00,0,35216
4,11,8:00,0,35216
4,11,9:00,0,35216
4,11,10:00,1,35216
4,11,11:00,0,35216
4,11,12:00,0,35216
4,11,13:00,0,35216
4,11,14:00,0,35216
4,11,15:00,0,35216
4,11,16:00,0,35216
4,11,17:00,0,35216
4,11,18:00,1,35216
4,11,19:00,0,35216
4,11,20:00,0,35216
4,11,21:00,0,35216
4,11,22:00,0,35216
4,11,23:00,0,35216
4,12,0:00,0,34888
4,12,1:00,0,34888
4,12,2:00,0,34888
4,12,3:00,0,34888
4,12,4:00,5,34888
4,12,5:00,3,34888
4,12,6:00,1,34888
4,12,7:00,0,34888
4,12,8:00,7,34888
4,12,9:00,7,34888
4,12,10:00,7,34888
